Date,open,high,low,close,volume
22-06-2023,4.817,4.978,4.746,4.824,399263.601
23-06-2023,4.824,5.139,4.817,5.091,464136.578
24-06-2023,5.101,5.137,4.902,5.003,273949.008
25-06-2023,5.013,5.264,5.001,5.2,434224.192
26-06-2023,5.2,5.239,4.973,5.02,496651.973
27-06-2023,5.02,5.155,4.991,5.096,226359.385
28-06-2023,5.093,5.101,4.742,4.868,322419.305
29-06-2023,4.868,5.222,4.86,4.986,392645.448
30-06-2023,4.98,5.206,4.79,5.171,629318.582
01-07-2023,5.183,5.391,5.107,5.334,494786.344
02-07-2023,5.334,5.554,5.222,5.506,426415.248
03-07-2023,5.49,5.643,5.372,5.433,392109.094
04-07-2023,5.418,5.548,5.244,5.338,315723.117
05-07-2023,5.359,5.382,5.105,5.21,274693.558
06-07-2023,5.21,5.373,5.002,5.022,293772.626
07-07-2023,5.022,5.179,4.961,5.123,202911.021
08-07-2023,5.111,5.206,5.051,5.119,120210.07
09-07-2023,5.119,5.165,5.062,5.084,120278.182
10-07-2023,5.084,5.236,4.973,5.139,251429.566
11-07-2023,5.139,5.222,5.085,5.206,165814.298
12-07-2023,5.206,5.314,5.093,5.14,256558.218
13-07-2023,5.14,5.549,5.079,5.545,545632.499
14-07-2023,5.545,5.81,5.285,5.439,595590.604
15-07-2023,5.455,5.578,5.378,5.427,192410.173
16-07-2023,5.433,5.462,5.249,5.314,212595.749
17-07-2023,5.306,5.419,5.16,5.295,317472.951
18-07-2023,5.309,5.403,5.091,5.175,367385.449
19-07-2023,5.186,5.26,5.128,5.2,232278.31
20-07-2023,5.183,5.495,5.181,5.357,390418.494
21-07-2023,5.341,5.719,5.333,5.51,535491.694
22-07-2023,5.477,5.519,5.259,5.316,225062.961
23-07-2023,5.308,5.506,5.273,5.39,221940.399
24-07-2023,5.39,5.422,5.107,5.219,335129.432
25-07-2023,5.209,5.258,5.12,5.177,175220.797
26-07-2023,5.175,5.302,5.115,5.245,172289.053
27-07-2023,5.245,5.343,5.181,5.24,162370.265
28-07-2023,5.24,5.282,5.147,5.211,173720.415
29-07-2023,5.211,5.279,5.202,5.245,85226.893
30-07-2023,5.245,5.279,5.088,5.191,167839.336
31-07-2023,5.191,5.265,5.036,5.104,212534.731
01-08-2023,5.104,5.216,4.951,5.213,243036.373
02-08-2023,5.202,5.225,5.004,5.055,185977.658
03-08-2023,5.055,5.076,4.916,4.973,158517.628
04-08-2023,4.973,5.046,4.934,4.982,130760.698
05-08-2023,4.982,4.999,4.928,4.971,69255.312
06-08-2023,4.971,5.049,4.951,5.008,111249.456
07-08-2023,5.001,5.064,4.825,4.955,172623.984
08-08-2023,4.955,5.113,4.909,5.069,138411.279
09-08-2023,5.069,5.12,4.992,5.06,139228.38
10-08-2023,5.06,5.077,4.976,5.007,114703.829
11-08-2023,5.007,5.029,4.946,5.013,102625.1
12-08-2023,5.006,5.039,4.971,5.022,81617.345
13-08-2023,5.022,5.062,4.966,4.988,107020.343
14-08-2023,4.985,5.076,4.938,4.988,147218.754
15-08-2023,4.988,5.008,4.641,4.81,195400.477
16-08-2023,4.81,4.858,4.521,4.667,239108.582
17-08-2023,4.675,4.99,4.301,4.426,454765.31
18-08-2023,4.426,4.568,4.345,4.514,294571.853
19-08-2023,4.509,4.568,4.443,4.523,99809.496
20-08-2023,4.515,4.539,4.458,4.524,99840.222
21-08-2023,4.524,4.544,4.357,4.435,159331.934
22-08-2023,4.435,4.465,4.256,4.418,250333.504
23-08-2023,4.418,4.546,4.365,4.491,214643.226
24-08-2023,4.485,4.54,4.359,4.428,187780.831
25-08-2023,4.418,4.505,4.345,4.478,182169.355
26-08-2023,4.492,4.536,4.464,4.501,133333.872
27-08-2023,4.49,4.553,4.458,4.483,127386.491
28-08-2023,4.492,4.624,4.407,4.62,296755.644
29-08-2023,4.62,4.813,4.532,4.689,419622.291
